Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
2.588,Terrain,27372,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,254.1274:0.1115837:400.5315:0:0.03693227:0:0.9993178,226.925:0.1115837:400.0205:0:-0.06112971:0:0.9981299,239.5336:0.1115837:409.8317:0:0.5534835:0:0.8328602,257.9121:0.1115837:401.5073:0:-0.2148768:0:0.9766412,244.207:0.1115837:388.6828:0:-0.2148768:0:0.9766412,245.0705:0.1115837:391.2257:0:-0.3808171:0:0.9246504,224.7857:0.1115837:400.783:0:0.2687635:0:0.9632062,240.4374:0.1115837:408.7354:0:-0.1763241:0:-0.9843322
.053,Terrain,27372,None,True,248.5:-0.004925609:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002475689:-0.1213637:0.0003026971:0.992605,226.925:0.1115837:400.0205:0.001711928:0.3660685:-0.0006734282:0.9305861,239.5336:0.1115837:409.8317:0.003462193:0.2911229:-0.001053565:0.9566788,257.9121:0.1115837:401.5073:0.002412103:-0.2032577:0.0005007328:0.9791222,244.207:0.1115837:388.6828:0.001671586:0.06182851:-0.0001035499:0.9980854,245.0705:0.1115837:391.2257:0.001808936:0.05339856:-9.673275E-05:0.9985716,224.7857:0.1115837:400.783:0.001639501:0.3956319:-0.0007062649:0.9184074,240.4374:0.1115837:408.7354:0.003404655:0.2515215:-0.0008847941:0.9678453
.103,Terrain,27372,None,True,248.5:-0.004999459:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477258:-0.1213637:0.000302889:0.992605,226.925:0.1115837:400.0205:0.001713013:0.3660685:-0.000673855:0.9305861,239.5336:0.1115837:409.8317:0.003464387:0.2911229:-0.001054233:0.9566788,257.9121:0.1115837:401.5073:0.002413632:-0.2032577:0.0005010501:0.9791222,244.207:0.1115837:388.6828:0.001672645:0.06182851:-0.0001036155:0.9980854,245.0705:0.1115837:391.2257:0.001810082:0.05339856:-9.679407E-05:0.9985716,224.7857:0.1115837:400.783:0.00164054:0.3956319:-0.0007067126:0.9184074,240.4374:0.1115837:408.7354:0.003406812:0.2515215:-0.0008853549:0.9678453
.152,Terrain,27372,None,True,248.5:-0.004999995:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477269:-0.1213637:0.0003028904:0.992605,226.925:0.1115837:400.0205:0.001713021:0.3660685:-0.0006738582:0.9305861,239.5336:0.1115837:409.8317:0.003464403:0.2911229:-0.001054238:0.9566788,257.9121:0.1115837:401.5073:0.002413643:-0.2032577:0.0005010524:0.9791222,244.207:0.1115837:388.6828:0.001672653:0.06182851:-0.000103616:0.9980854,245.0705:0.1115837:391.2257:0.001810091:0.05339856:-9.679451E-05:0.9985716,224.7857:0.1115837:400.783:0.001640548:0.3956319:-0.0007067158:0.9184074,240.4374:0.1115837:408.7354:0.003406828:0.2515215:-0.0008853589:0.9678453
.202,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.252,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.302,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.352,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.401,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
.451,Terrain,27372,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.002477271:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054239:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115837:408.7354:0.00340683:0.2515215:-0.0008853594:0.9678453
