Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,37656,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,251.8535:0.08712769:399.5573:0:-0.3826835:0:0.9238796,240.2394:0.08712769:378.4684:0:0:0:1,245.6181:0.08712769:407.8893:0:1:0:-4.371139E-08,235.5269:0.08712769:392.6381:0:0.08715574:0:0.9961947,246.5558:0.08712769:378.4684:0:0:0:1,254.9346:0.08712769:386.67:0:0.7071068:0:-0.7071068,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0:0.3781566:0:0.9257417,240.4482:0.08712769:409.3763:0:0:0:1,251.1217:0.08712769:391.398:0:0.3420202:0:-0.9396926,224.8722:0.08712769:397.123:0:0.1688256:0:0.9856459
.450,Terrain,37656,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.499,Terrain,37656,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.610,Terrain,37656,None,True,248.3477:-0.005000174:423.0063:0:0.9890133:0:-0.1478263,251.8535:0.08712769:399.5573:0.001937487:-0.07413548:0.0001440331:0.9972463,240.2394:0.08712769:378.4684:0.001013415:0.08991976:-9.149671E-05:0.9959485,245.6181:0.08712769:407.8893:0.002986677:0.08920347:-0.0002674895:0.9960089,235.5269:0.08712769:392.6381:0.001369631:0.1984147:-0.0002772679:0.9801171,246.5558:0.08712769:378.4684:0.001033217:0.02010505:-2.077709E-05:0.9997973,254.9346:0.08712769:386.67:0.00124237:-0.08954327:0.0001116947:0.9959822,231.7596:0.08712769:409.3763:0.001939804:0.4272864:-0.0009167562:0.9041138,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001082749:0.4881098:-0.0006055359:0.8727813,240.4482:0.08712769:409.3763:0.002823701:0.2596218:-0.0007591277:0.965706,251.1217:0.08712769:391.398:0.001450366:-0.04375367:6.351973E-05:0.9990413,224.8722:0.08712769:397.123:0.001229825:0.3600567:-0.0004746412:0.9329295
.665,Terrain,37656,None,True,248.1538:-0.005000114:422.7385:0:0.9851894:0:-0.17147,251.8535:0.08712769:399.5573:0.001956143:-0.07905053:0.0001551199:0.9968687,240.2394:0.08712769:378.4684:0.001020274:0.08833767:-9.048238E-05:0.9960901,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.001383463:0.1972955:-0.0002784239:0.980343,246.5558:0.08712769:378.4684:0.001039671:0.01803938:-1.875809E-05:0.9998367,254.9346:0.08712769:386.67:0.00124972:-0.09278073:0.0001164523:0.9956858,231.7596:0.08712769:409.3763:0.001967279:0.4290759:-0.0009345108:0.9032658,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001090672:0.4896096:-0.0006124307:0.8719409,240.4482:0.08712769:409.3763:0.002884751:0.2585717:-0.0007721786:0.9659875,251.1217:0.08712769:391.398:0.001461611:-0.04719095:6.905179E-05:0.9988849,224.8722:0.08712769:397.123:0.00124125:0.3605448:-0.0004797969:0.932741
.715,Terrain,37656,None,True,248.014:-0.004999995:422.5252:0:0.9834079:0:-0.1814083,251.8535:0.08712769:399.5573:0.001971337:-0.08272343:0.0001636369:0.9965706,240.2394:0.08712769:378.4684:0.001025719:0.08722385:-8.980953E-05:0.9961882,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.001394369:0.1965936:-0.0002795802:0.9804841,246.5558:0.08712769:378.4684:0.001044837:0.01654269:-1.728679E-05:0.9998626,254.9346:0.08712769:386.67:0.001255705:-0.09519014:0.0001200761:0.9954583,231.7596:0.08712769:409.3763:0.001988389:0.4307387:-0.0009490313:0.902474,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001096608:0.4909116:-0.0006179206:0.8712085,240.4482:0.08712769:409.3763:0.002933526:0.2581089:-0.000783729:0.9661111,251.1217:0.08712769:391.398:0.001470712:-0.04973318:7.32339E-05:0.9987615,224.8722:0.08712769:397.123:0.001250061:0.3610878:-0.0004840397:0.9325309
.780,Terrain,37656,None,True,247.8051:-0.004999995:422.1713:0:0.9816715:0:-0.190581,251.8535:0.08712769:399.5573:0.001997217:-0.08845627:0.0001773619:0.9960781,240.2394:0.08712769:378.4684:0.00103476:0.08560439:-8.890636E-05:0.9963287,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.001412362:0.1957306:-0.0002818953:0.9806567,246.5558:0.08712769:378.4684:0.001053482:0.01428938:-1.505515E-05:0.9998974,254.9346:0.08712769:386.67:0.001265884:-0.09893056:0.0001258521:0.9950935,231.7596:0.08712769:409.3763:0.002022241:0.4338975:-0.0009739008:0.9009595,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001105869:0.4932484:-0.0006270558:0.8698876,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.001486112:-0.05365351:7.985024E-05:0.9985585,224.8722:0.08712769:397.123:0.001264259:0.3622399:-0.0004913348:0.9320839
.833,Terrain,37656,None,True,247.6035:-0.004999995:421.7913:0:0.9809284:0:-0.1943694,251.8535:0.08712769:399.5573:0.002025855:-0.09429381:0.000191881:0.9955423,240.2394:0.08712769:378.4684:0.001044516:0.08408733:-8.814278E-05:0.9964579,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.00143171:0.1951048:-0.0002848072:0.9807813,246.5558:0.08712769:378.4684:0.001062876:0.01208995:-1.285106E-05:0.9999264,254.9346:0.08712769:386.67:0.0012771:-0.1027081:0.000131866:0.9947107,231.7596:0.08712769:409.3763:0.002057555:0.4377295:-0.001001723:0.8991038,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001115225:0.4959451:-0.0006369421:0.8683529,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.001503037:-0.0575881:8.670102E-05:0.9983393,224.8722:0.08712769:397.123:0.001279144:0.3637386:-0.000499489:0.9315001
.883,Terrain,37656,None,True,247.5313:-0.005000055:421.7981:0:0.9827734:0:-0.1848147,251.8535:0.08712769:399.5573:0.002023743:-0.0958242:0.0001948205:0.9953962,240.2394:0.08712769:378.4684:0.001044716:0.08326712:-8.729372E-05:0.9965267,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.001432991:0.1940268:-0.0002834251:0.9809952,246.5558:0.08712769:378.4684:0.001062762:0.0112552:-1.196236E-05:0.9999361,254.9346:0.08712769:386.67:0.00127621:-0.1036683:0.0001330193:0.9946111,231.7596:0.08712769:409.3763:0.002064194:0.4366124:-0.001001785:0.8996468,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001117434:0.4954294:-0.0006373238:0.8686473,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.001502194:-0.05874522:8.839948E-05:0.9982719,224.8722:0.08712769:397.123:0.001281251:0.3629363:-0.0004990408:0.9318129
.932,Terrain,37656,None,True,247.513:-0.004999936:421.7909:0:0.985634:0:-0.1688952,251.8535:0.08712769:399.5573:0.002023975:-0.09624994:0.0001957165:0.9953551,240.2394:0.08712769:378.4684:0.001044973:0.08307552:-8.711284E-05:0.9965427,245.6181:0.08712769:407.8893:0.003046883:0.08446514:-0.0002582796:0.9964218,235.5269:0.08712769:392.6381:0.001433673:0.1938055:-0.000283224:0.9810389,246.5558:0.08712769:378.4684:0.00106295:0.01104551:-1.174154E-05:0.9999384,254.9346:0.08712769:386.67:0.001276287:-0.1039375:0.0001333767:0.994583,231.7596:0.08712769:409.3763:0.002066274:0.4364848:-0.001002432:0.8997087,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001118068:0.4953913:-0.0006376204:0.868669,240.4482:0.08712769:409.3763:0.002959762:0.2579884:-0.0007903427:0.9661431,251.1217:0.08712769:391.398:0.00150241:-0.05905604:8.88816E-05:0.9982536,224.8722:0.08712769:397.123:0.001281992:0.3628161:-0.0004991387:0.9318598
