Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,186322,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,238.1141:0.1115837:403.7122:0:0.126461:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459478,223.4755:0.1115837:396.552:0:0.38893:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.201,Terrain,186322,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115837:403.7122:0.002560971:0.2423866:-0.0006398273:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512623:0.5307173:-0.0009471748:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681268:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.251,Terrain,186322,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115837:403.7122:0.002560971:0.2423866:-0.0006398273:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512623:0.5307173:-0.0009471748:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681268:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.301,Terrain,186322,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115837:403.7122:0.002560971:0.2423866:-0.0006398273:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512623:0.5307173:-0.0009471748:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681268:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.351,Terrain,186322,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115837:403.7122:0.002560971:0.2423866:-0.0006398273:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512623:0.5307173:-0.0009471748:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681268:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.400,Terrain,186322,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115837:403.7122:0.002560971:0.2423866:-0.0006398273:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512623:0.5307173:-0.0009471748:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681268:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.450,Terrain,186322,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,238.1141:0.1115837:403.7122:0.002560971:0.2423866:-0.0006398273:0.9701762,254.1505:0.1115837:406.1739:0.003207734:-0.1595306:0.0005183734:0.9871876,219.1169:0.1115837:408.9374:0.001512623:0.5307173:-0.0009471748:0.8475471,223.4755:0.1115839:396.552:0.001482608:0.3681268:-0.000587011:0.9297742,239.0525:0.1115837:392.0285:0.001770298:0.1466106:-0.0002623801:0.9891927
.536,Terrain,186322,None,True,248.3101:-0.004999936:423.043:0:0.9862536:0:-0.1652389,238.1141:0.1115837:403.7122:0.002589031:0.2403055:-0.0006409423:0.9706936,254.1505:0.1115837:406.1739:0.00322008:-0.1658789:0.0005416503:0.9861407,219.1169:0.1115837:408.9374:0.00152293:0.5314796:-0.0009555374:0.8470692,223.4755:0.1115839:396.552:0.001492839:0.3677308:-0.0005903267:0.9299309,239.0525:0.1115837:392.0285:0.001782065:0.1445291:-0.0002602936:0.9894989
.586,Terrain,186322,None,True,248.0327:-0.005000174:422.8689:0:0.9723159:0:-0.2336701,238.1141:0.1115837:403.7122:0.002625429:0.2366101:-0.0006393603:0.9716009,254.1505:0.1115837:406.1739:0.003227914:-0.1747222:0.0005728024:0.9846123,219.1169:0.1115837:408.9374:0.001537837:0.5319555:-0.0009660947:0.8467705,223.4755:0.1115839:396.552:0.001506664:0.3666541:-0.0005937777:0.930356,239.0525:0.1115837:392.0285:0.001796558:0.1412005:-0.0002562427:0.9899794
.636,Terrain,186322,None,True,247.8138:-0.004999995:422.7432:0:0.9653233:0:-0.2610575,238.1141:0.1115837:403.7122:0.002653509:0.2335035:-0.0006372214:0.9723521,254.1505:0.1115837:406.1739:0.003231263:-0.1816208:0.0005967932:0.9833632,219.1169:0.1115837:408.9374:0.00154971:0.5321981:-0.0009741734:0.8466179,223.4755:0.1115839:396.552:0.001517443:0.3656879:-0.0005962061:0.9307361,239.0525:0.1115837:392.0285:0.001807458:0.1384883:-0.0002527477:0.9903624
