Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
25.601,Terrain,196062,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,251.8535:0.08712769:399.5573:0:-0.3826835:0:0.9238796,240.2394:0.08712769:378.4684:0:0:0:1,245.6181:0.08712769:407.8893:0:1:0:-4.371139E-08,235.5269:0.08712769:392.6381:0:0.08715574:0:0.9961947,246.5558:0.08712769:378.4684:0:0:0:1,254.9346:0.08712769:386.67:0:0.7071068:0:-0.7071068,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0:0.3781566:0:0.9257417,240.4482:0.08712769:409.3763:0:0:0:1,251.1217:0.08712769:391.398:0:0.3420202:0:-0.9396926,224.8722:0.08712769:397.123:0:0.1688256:0:0.9856459
.056,Terrain,196062,None,True,248.5:-0.004985154:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001923921:-0.07039217:0.000135766:0.9975176,240.2394:0.08712769:378.4684:0.001008277:0.09117974:-9.2319E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943379:0.09289213:-0.0002746053:0.9956718,235.5269:0.08712769:392.6381:0.001359331:0.1993729:-0.0002765664:0.9799227,246.5558:0.08712769:378.4684:0.0010284:0.02171675:-2.233879E-05:0.9997637,254.9346:0.08712769:386.67:0.00123695:-0.08706748:0.0001081087:0.9962016,231.7596:0.08712769:409.3763:0.001919089:0.4261818:-0.0009041004:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076558:0.4871124:-0.0006004601:0.8733384,240.4482:0.08712769:409.3763:0.002779366:0.2606654:-0.0007504311:0.9654249,251.1217:0.08712769:391.398:0.001442104:-0.04111387:5.934072E-05:0.9991534,224.8722:0.08712769:397.123:0.001221151:0.3598262:-0.000470947:0.9330184
.107,Terrain,196062,None,True,248.5:-0.004999459:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.00192422:-0.07039217:0.0001357871:0.9975176,240.2394:0.08712769:378.4684:0.001008433:0.09117974:-9.233335E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943836:0.09289213:-0.0002746479:0.9956718,235.5269:0.08712769:392.6381:0.001359542:0.1993729:-0.0002766093:0.9799227,246.5558:0.08712769:378.4684:0.00102856:0.02171675:-2.234226E-05:0.9997637,254.9346:0.08712769:386.67:0.001237142:-0.08706748:0.0001081255:0.9962016,231.7596:0.08712769:409.3763:0.001919387:0.4261818:-0.0009042408:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076726:0.4871124:-0.0006005534:0.8733384,240.4482:0.08712769:409.3763:0.002779798:0.2606654:-0.0007505476:0.9654249,251.1217:0.08712769:391.398:0.001442328:-0.04111387:5.934994E-05:0.9991534,224.8722:0.08712769:397.123:0.001221341:0.3598262:-0.0004710201:0.9330184
.156,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.206,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.255,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.306,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.355,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.405,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.454,Terrain,196062,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039217:0.000135788:0.9975176,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799227,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111387:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
