Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.640,Terrain,25044,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,251.8535:0.08712769:399.5573:0:-0.3826835:0:0.9238796,240.2394:0.08712769:378.4684:0:0:0:1,245.6181:0.08712769:407.8893:0:1:0:-4.371139E-08,235.5269:0.08712769:392.6381:0:0.08715574:0:0.9961947,246.5558:0.08712769:378.4684:0:0:0:1,254.9346:0.08712769:386.67:0:0.7071068:0:-0.7071068,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0:0.3781566:0:0.9257417,240.4482:0.08712769:409.3763:0:0:0:1,251.1217:0.08712769:391.398:0:0.3420202:0:-0.9396926,224.8722:0.08712769:397.123:0:0.1688256:0:0.9856459
.045,Terrain,25044,None,True,248.5:-0.004925609:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001922677:-0.07039216:0.0001356782:0.9975175,240.2394:0.08712769:378.4684:0.001007625:0.09117974:-9.225932E-05:0.9958339,245.6181:0.08712769:407.8893:0.002941476:0.09289213:-0.0002744278:0.9956718,235.5269:0.08712769:392.6381:0.001358452:0.1993729:-0.0002763876:0.9799228,246.5558:0.08712769:378.4684:0.001027736:0.02171675:-2.232435E-05:0.9997637,254.9346:0.08712769:386.67:0.00123615:-0.08706748:0.0001080389:0.9962016,231.7596:0.08712769:409.3763:0.001917849:0.4261818:-0.000903516:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001075863:0.4871124:-0.000600072:0.8733384,240.4482:0.08712769:409.3763:0.00277757:0.2606654:-0.000749946:0.9654249,251.1217:0.08712769:391.398:0.001441172:-0.04111386:5.930237E-05:0.9991534,224.8722:0.08712769:397.123:0.001220362:0.3598262:-0.0004706426:0.9330184
.094,Terrain,25044,None,True,248.5:-0.004997075:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.00192417:-0.07039216:0.0001357836:0.9975175,240.2394:0.08712769:378.4684:0.001008407:0.09117974:-9.233096E-05:0.9958339,245.6181:0.08712769:407.8893:0.00294376:0.09289213:-0.0002746408:0.9956718,235.5269:0.08712769:392.6381:0.001359507:0.1993729:-0.0002766022:0.9799228,246.5558:0.08712769:378.4684:0.001028533:0.02171675:-2.234168E-05:0.9997637,254.9346:0.08712769:386.67:0.00123711:-0.08706748:0.0001081227:0.9962016,231.7596:0.08712769:409.3763:0.001919338:0.4261818:-0.0009042175:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076698:0.4871124:-0.0006005379:0.8733384,240.4482:0.08712769:409.3763:0.002779726:0.2606654:-0.0007505282:0.9654249,251.1217:0.08712769:391.398:0.001442291:-0.04111386:5.93484E-05:0.9991534,224.8722:0.08712769:397.123:0.001221309:0.3598262:-0.000471008:0.9330184
.142,Terrain,25044,None,True,248.5:-0.004999995:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924231:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.001008439:0.09117974:-9.233389E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943853:0.09289213:-0.0002746495:0.9956718,235.5269:0.08712769:392.6381:0.00135955:0.1993729:-0.000276611:0.9799228,246.5558:0.08712769:378.4684:0.001028566:0.02171675:-2.234239E-05:0.9997637,254.9346:0.08712769:386.67:0.001237149:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.001919398:0.4261818:-0.000904246:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076732:0.4871124:-0.0006005569:0.8733384,240.4482:0.08712769:409.3763:0.002779814:0.2606654:-0.0007505519:0.9654249,251.1217:0.08712769:391.398:0.001442337:-0.04111386:5.935028E-05:0.9991534,224.8722:0.08712769:397.123:0.001221348:0.3598262:-0.0004710229:0.9330184
.189,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.236,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.281,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.327,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.371,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
.417,Terrain,25044,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001924232:-0.07039216:0.0001357879:0.9975175,240.2394:0.08712769:378.4684:0.00100844:0.09117974:-9.233394E-05:0.9958339,245.6181:0.08712769:407.8893:0.002943855:0.09289213:-0.0002746497:0.9956718,235.5269:0.08712769:392.6381:0.001359551:0.1993729:-0.0002766111:0.9799228,246.5558:0.08712769:378.4684:0.001028567:0.02171675:-2.234241E-05:0.9997637,254.9346:0.08712769:386.67:0.00123715:-0.08706748:0.0001081262:0.9962016,231.7596:0.08712769:409.3763:0.0019194:0.4261818:-0.0009042466:0.9046351,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0.001076733:0.4871124:-0.0006005573:0.8733384,240.4482:0.08712769:409.3763:0.002779816:0.2606654:-0.0007505525:0.9654249,251.1217:0.08712769:391.398:0.001442338:-0.04111386:5.935032E-05:0.9991534,224.8722:0.08712769:397.123:0.001221349:0.3598262:-0.0004710232:0.9330184
