Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,28010,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,254.1274:0.1115837:400.5315:0:0.03693227:0:0.9993178,226.925:0.1115837:400.0205:0:-0.06112971:0:0.9981299,239.5336:0.1115837:409.8317:0:0.5534835:0:0.8328602,257.9121:0.1115837:401.5073:0:-0.2148768:0:0.9766412,244.207:0.1115837:388.6828:0:-0.2148768:0:0.9766412,245.0705:0.1115837:391.2257:0:-0.3808171:0:0.9246504,224.7857:0.1115837:400.783:0:0.2687635:0:0.9632062,240.4374:0.1115837:408.7354:0:-0.1763241:0:-0.9843322
.353,Terrain,28010,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.00247727:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054238:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115839:408.7354:0.003406834:0.2515215:-0.0008853605:0.9678453
.404,Terrain,28010,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.00247727:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054238:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115839:408.7354:0.003406834:0.2515215:-0.0008853605:0.9678453
.446,Terrain,28010,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.00247727:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054238:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115839:408.7354:0.003406834:0.2515215:-0.0008853605:0.9678453
.496,Terrain,28010,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.00247727:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054238:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115839:408.7354:0.003406834:0.2515215:-0.0008853605:0.9678453
.542,Terrain,28010,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.00247727:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054238:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115839:408.7354:0.003406834:0.2515215:-0.0008853605:0.9678453
.587,Terrain,28010,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.00247727:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054238:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115839:408.7354:0.003406834:0.2515215:-0.0008853605:0.9678453
.633,Terrain,28010,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.00247727:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054238:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115839:408.7354:0.003406834:0.2515215:-0.0008853605:0.9678453
.680,Terrain,28010,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.00247727:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054238:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115839:408.7354:0.003406834:0.2515215:-0.0008853605:0.9678453
.725,Terrain,28010,None,True,248.5:-0.005000055:423.2:0:0.9938502:0:-0.1107332,254.1274:0.1115837:400.5315:0.00247727:-0.1213637:0.0003028905:0.992605,226.925:0.1115837:400.0205:0.001713022:0.3660685:-0.0006738584:0.9305861,239.5336:0.1115837:409.8317:0.003464405:0.2911229:-0.001054238:0.9566788,257.9121:0.1115837:401.5073:0.002413644:-0.2032577:0.0005010527:0.9791222,244.207:0.1115837:388.6828:0.001672654:0.06182851:-0.0001036161:0.9980854,245.0705:0.1115837:391.2257:0.001810092:0.05339856:-9.679455E-05:0.9985716,224.7857:0.1115837:400.783:0.001640549:0.3956319:-0.0007067162:0.9184074,240.4374:0.1115839:408.7354:0.003406834:0.2515215:-0.0008853605:0.9678453
