Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,185516,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,239.3032:0:403.4829:0:0:0:1,238.1141:0.1115837:403.7122:0:0.126461:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459478,223.4755:0.1115837:396.552:0:0.38893:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
1.510,Terrain,185516,None,True,245.0532:-0.004999995:420.4032:0:0.8932418:0:-0.4495766,239.3048:-0.0299944:403.4857:-0.0006900796:0.1630453:0.0001140403:0.9866183,238.1141:0.1115839:403.7122:0.003162405:0.1957274:-0.0006311808:0.980653,254.1505:0.1115837:406.1739:0.003312778:-0.2805982:0.0009684736:0.9598191,219.1169:0.1115837:408.9374:0.001722477:0.5457427:-0.00112182:0.8379503,223.4755:0.1115839:396.552:0.001691223:0.359467:-0.0006514871:0.933156,239.0525:0.1115837:392.0285:0.001998993:0.1040174:-0.0002090646:0.9945735
1.577,Terrain,185516,None,True,244.6205:-0.005000174:420.3116:0:0.8705212:0:-0.4921308,239.305:-0.02999824:403.4863:-0.0007000882:0.1524044:0.0001079577:0.988318,238.1141:0.1115839:403.7122:0.003212591:0.1856946:-0.0006071237:0.9826021,254.1505:0.1115837:406.1739:0.003269626:-0.2922299:0.0009991012:0.956342,219.1169:0.1115837:408.9374:0.001751025:0.5443739:-0.001136346:0.8388401,223.4755:0.1115839:396.552:0.001712892:0.3556582:-0.000651824:0.9346144,239.0525:0.1115837:392.0285:0.00201265:0.0970379:-0.0001962298:0.9952787
1.644,Terrain,185516,None,True,244.0305:-0.004999936:420.2406:0:-0.8430828:0:0.5377838,239.3049:-0.02999872:403.4867:-0.0007112665:0.1370277:9.839137E-05:0.990567,238.1141:0.1115839:403.7122:0.003271465:0.1710256:-0.0005678739:0.985261,254.1505:0.1115837:406.1739:0.003201602:-0.3067898:0.001031991:0.9517714,219.1169:0.1115837:408.9374:0.00179103:0.5416803:-0.00115416:0.8405819,223.4755:0.1115839:396.552:0.001741179:0.3497874:-0.0006501118:0.9368273,239.0525:0.1115837:392.0285:0.002026998:0.087216:-0.0001774632:0.9961874
1.708,Terrain,185516,None,True,243.584:-0.005000055:420.1985:0:-0.8268215:0:0.5624645,239.3047:-0.02999654:403.4871:-0.0007188251:0.1250115:9.05719E-05:0.9921551,238.1141:0.1115839:403.7122:0.003312866:0.1594909:-0.0005352262:0.9871937,254.1505:0.1115837:406.1739:0.003148089:-0.3172624:0.001053186:0.948332,219.1169:0.1115837:408.9374:0.001822379:0.5393972:-0.001167374:0.8420488,223.4755:0.1115839:396.552:0.00176255:0.3451092:-0.0006480904:0.9385607,239.0525:0.1115837:392.0285:0.002036515:0.07966349:-0.0001627535:0.9968197
1.777,Terrain,185516,None,True,243.1363:-0.005000114:420.1548:0:-0.8138833:0:0.5810285,239.3049:-0.02999821:403.4878:-0.0007262063:0.1127356:8.23946E-05:0.9936247,238.1141:0.1115839:403.7122:0.003353322:0.1476747:-0.0005006935:0.9890302,254.1505:0.1115837:406.1739:0.003094506:-0.327473:0.001072511:0.9448549,219.1169:0.1115837:408.9374:0.001854858:0.5370539:-0.00118092:0.843545,223.4755:0.1115839:396.552:0.001784325:0.3403276:-0.0006458064:0.940305,239.0525:0.1115837:392.0285:0.002045662:0.0720313:-0.0001477358:0.9974003
1.823,Terrain,185516,None,True,242.6886:-0.004999995:420.1048:0:-0.8038128:0:0.5948823,239.3049:-0.02999702:403.4878:-0.0007333115:0.1002727:7.390362E-05:0.9949597,238.1141:0.1115839:403.7122:0.003393404:0.1356458:-0.000464598:0.9907515,254.1505:0.1115837:406.1739:0.003041624:-0.3374742:0.001090447:0.9413292,219.1169:0.1115837:408.9374:0.001888487:0.5347205:-0.001195008:0.8450261,223.4755:0.1115839:396.552:0.001806629:0.3354969:-0.000643411:0.9420394,239.0525:0.1115837:392.0285:0.002054719:0.06435101:-0.0001324981:0.9979252
1.897,Terrain,185516,None,True,242.2413:-0.005000114:420.0485:0:-0.7960923:0:0.6051753,239.305:-0.02999836:403.4885:-0.0007403255:0.0876335:6.51279E-05:0.9961525,238.1141:0.1115839:403.7122:0.00343304:0.123415:-0.000426955:0.9923491,254.1505:0.1115837:406.1739:0.002989559:-0.3472677:0.001107081:0.9377607,219.1169:0.1115837:408.9374:0.001923307:0.5324034:-0.001209676:0.8464877,223.4755:0.1115839:396.552:0.001829479:0.3306218:-0.0006409096:0.9437613,239.0525:0.1115837:392.0285:0.002063698:0.05662939:-0.000117054:0.9983931
1.970,Terrain,185516,None,True,241.6462:-0.005000055:419.9627:0:-0.7889414:0:0.6144685,239.3048:-0.02999836:403.4889:-0.0007493086:0.07053526:5.298466E-05:0.997509,238.1141:0.1115839:403.7122:0.003485124:0.1068079:-0.0003743826:0.9942735,254.1505:0.1115837:406.1739:0.002921555:-0.3600187:0.001127419:0.9329398,219.1169:0.1115837:408.9374:0.001971672:0.5293558:-0.001230221:0.8483968,223.4755:0.1115839:396.552:0.001860836:0.324062:-0.0006374256:0.9460338,239.0525:0.1115837:392.0285:0.002075581:0.04627728:-9.615549E-05:0.9989265
2.039,Terrain,185516,None,True,241.2029:-0.004999936:419.8815:0:-0.7887235:0:0.6147481,239.3049:-0.02999824:403.4896:-0.0007562015:0.05760854:4.363614E-05:0.998339,238.1141:0.1115839:403.7122:0.003525238:0.09423724:-0.0003336958:0.9955435,254.1505:0.1115837:406.1739:0.00287268:-0.369474:0.001142208:0.9292359,219.1169:0.1115837:408.9374:0.00200944:0.5272559:-0.001246893:0.8497033,223.4755:0.1115839:396.552:0.001885353:0.3192081:-0.0006350437:0.9476826,239.0525:0.1115837:392.0285:0.002085068:0.03851814:-8.037277E-05:0.9992557
2.114,Terrain,185516,None,True,240.6235:-0.004999936:419.7276:0:-0.7951518:0:0.6064106,239.3046:-0.02999723:403.49:-0.0007665775:0.04051085:3.108022E-05:0.9991788,238.1141:0.1115839:403.7122:0.003584931:0.07763152:-0.0002791479:0.9969757,254.1505:0.1115837:406.1739:0.002812939:-0.3822243:0.001163527:0.9240646,219.1169:0.1115837:408.9374:0.002061643:0.5251454:-0.00127221:0.8510091,223.4755:0.1115839:396.552:0.001920218:0.3131483:-0.0006331597:0.9497021,239.0525:0.1115837:392.0285:0.00210023:0.02832463:-5.951225E-05:0.9995966
2.182,Terrain,185516,None,True,240.0529:-0.004999995:419.5417:0:-0.800648:0:0.599135,239.3047:-0.02999759:403.4908:-0.0007776383:0.0232866:1.811347E-05:0.9997286,238.1141:0.1115839:403.7122:0.003648304:0.06089626:-0.0002225827:0.9981374,254.1505:0.1115837:406.1739:0.0027565:-0.394918:0.001184911:0.9187115,219.1169:0.1115837:408.9374:0.002116247:0.5235176:-0.001300326:0.8520113,223.4755:0.1115839:396.552:0.001957112:0.3073097:-0.0006320251:0.9516073,239.0525:0.1115837:392.0285:0.002116923:0.01817125:-3.847358E-05:0.9998327
2.250,Terrain,185516,None,True,239.6273:-0.004999995:419.3934:0:-0.803932:0:0.5947212,239.3047:-0.02999771:403.4915:-0.0007857955:0.01014144:7.969514E-06:0.9999483,238.1141:0.1115839:403.7122:0.003695767:0.04808097:-0.0001779031:0.9988366,254.1505:0.1115837:406.1739:0.00271482:-0.4042646:0.001199936:0.9146373,219.1169:0.1115837:408.9374:0.00215902:0.5224079:-0.001322739:0.852692,223.4755:0.1115839:396.552:0.001985794:0.3029115:-0.0006311749:0.9530164,239.0525:0.1115837:392.0285:0.00212957:0.01050185:-2.236569E-05:0.9999426
2.314,Terrain,185516,None,True,239.2027:-0.005000055:419.2416:0:-0.8066413:0:0.5910413,239.3044:-0.0299978:403.4919:-0.0007935732:-0.003229062:-2.562511E-06:0.9999945,238.1141:0.1115839:403.7122:0.00374208:0.03498515:-0.0001309984:0.9993808,254.1505:0.1115837:406.1739:0.002673279:-0.4134132:0.001213752:0.9105389,219.1169:0.1115837:408.9374:0.002203504:0.521319:-0.001346127:0.853358,223.4755:0.1115839:396.552:0.002015233:0.2984369:-0.0006301369:0.9544271,239.0525:0.1115837:392.0285:0.002141997:0.002760922:-5.913921E-06:0.9999939
2.381,Terrain,185516,None,True,238.8832:-0.004999995:419.1267:0:-0.8066413:0:0.5910413,239.3042:-0.02999762:403.4923:-0.0007990802:-0.01345943:-1.075614E-05:0.9999091,238.1141:0.1115839:403.7122:0.003775658:0.02492238:-9.412827E-05:0.9996822,254.1505:0.1115837:406.1739:0.002641963:-0.4201509:0.001223234:0.9074496,219.1169:0.1115837:408.9374:0.002238205:0.5204811:-0.001364311:0.8538692,223.4755:0.1115839:396.552:0.002037845:0.2949919:-0.0006291464:0.9554974,239.0525:0.1115837:392.0285:0.002151064:-0.003123417:6.718716E-06:0.9999928
2.447,Terrain,185516,None,True,238.7896:-0.004999995:419.0931:0:-0.8066413:0:0.5910413,239.3039:-0.02999753:403.4927:-0.0008006408:-0.01647828:-1.319498E-05:0.9998639,238.1141:0.1115839:403.7122:0.003785244:0.02194174:-8.307541E-05:0.9997521,254.1505:0.1115837:406.1739:0.002632783:-0.422099:0.001225858:0.9065451,219.1169:0.1115837:408.9374:0.002248575:0.5202309:-0.001369729:0.8540215,223.4755:0.1115839:396.552:0.002044539:0.2939691:-0.0006288172:0.9558125,239.0525:0.1115837:392.0285:0.002153665:-0.004856321:1.045903E-05:0.9999859
2.511,Terrain,185516,None,True,238.7546:-0.004999995:419.0805:0:-0.8066413:0:0.5910413,239.3039:-0.02999654:403.4927:-0.0008011778:-0.01761142:-1.411207E-05:0.9998446,238.1141:0.1115839:403.7122:0.003788793:0.02082517:-7.891993E-05:0.9997759,254.1505:0.1115837:406.1739:0.002629356:-0.4228234:0.00122682:0.9062075,219.1169:0.1115837:408.9374:0.002252471:0.5201371:-0.001371764:0.8540787,223.4755:0.1115839:396.552:0.002047047:0.2935857:-0.0006286897:0.9559304,239.0525:0.1115837:392.0285:0.002154629:-0.00550434:1.186002E-05:0.9999825
2.576,Terrain,185516,None,True,238.7474:-0.004999995:419.0779:0:-0.8066413:0:0.5910413,239.3037:-0.02999377:403.4927:-0.0008012062:-0.01783775:-1.429399E-05:0.9998406,238.1141:0.1115839:403.7122:0.003789523:0.02059378:-7.805773E-05:0.9997808,254.1505:0.1115837:406.1739:0.002628647:-0.422973:0.001227017:0.9061376,219.1169:0.1115837:408.9374:0.00225328:0.5201176:-0.001372185:0.8540906,223.4755:0.1115839:396.552:0.002047566:0.2935061:-0.0006286627:0.9559548,239.0525:0.1115837:392.0285:0.002154828:-0.005638543:1.215031E-05:0.9999818
2.635,Terrain,185516,None,True,238.7484:-0.004999995:419.0783:0:-0.8066413:0:0.5910413,239.3035:-0.02999341:403.4927:-0.0008011769:-0.01780063:-1.426372E-05:0.9998413,238.1141:0.1115839:403.7122:0.00378942:0.02062501:-7.817404E-05:0.9997801,254.1505:0.1115837:406.1739:0.002628742:-0.4229525:0.001226989:0.9061472,219.1169:0.1115837:408.9374:0.00225317:0.5201199:-0.001372127:0.8540892,223.4755:0.1115839:396.552:0.002047495:0.2935168:-0.0006286657:0.9559516,239.0525:0.1115837:392.0285:0.002154799:-0.005620417:1.211109E-05:0.9999819
2.684,Terrain,185516,None,True,238.7495:-0.004999995:419.0787:0:-0.8066413:0:0.5910413,239.3035:-0.02999431:403.4927:-0.0008011879:-0.01776254:-1.423338E-05:0.9998419,238.1141:0.1115839:403.7122:0.003789308:0.02066164:-7.831061E-05:0.9997793,254.1505:0.1115837:406.1739:0.002628855:-0.422929:0.001226959:0.9061581,219.1169:0.1115837:408.9374:0.002253042:0.5201232:-0.001372061:0.8540872,223.4755:0.1115839:396.552:0.002047413:0.2935294:-0.0006286704:0.9559476,239.0525:0.1115837:392.0285:0.002154769:-0.005599184:1.206517E-05:0.999982
2.747,Terrain,185516,None,True,238.7501:-0.004999995:419.0789:0:-0.8066413:0:0.5910413,239.3035:-0.02999324:403.4927:-0.0008011454:-0.01774424:-1.421796E-05:0.9998422,238.1141:0.1115839:403.7122:0.003789248:0.02067969:-7.837781E-05:0.999779,254.1505:0.1115837:406.1739:0.00262891:-0.4229172:0.001226943:0.9061637,219.1169:0.1115837:408.9374:0.002252979:0.5201246:-0.001372027:0.8540863,223.4755:0.1115839:396.552:0.002047372:0.2935355:-0.000628672:0.9559458,239.0525:0.1115837:392.0285:0.002154753:-0.005588707:1.20425E-05:0.9999821
2.801,Terrain,185516,None,True,238.7503:-0.004999995:419.079:0:-0.8066413:0:0.5910413,239.3035:-0.02999312:403.4927:-0.0008011375:-0.0177373:-1.421225E-05:0.9998424,238.1141:0.1115839:403.7122:0.003789223:0.0206875:-7.840689E-05:0.9997788,254.1505:0.1115837:406.1739:0.002628933:-0.4229121:0.001226936:0.9061661,219.1169:0.1115837:408.9374:0.002252951:0.5201252:-0.001372013:0.854086,223.4755:0.1115839:396.552:0.002047355:0.2935382:-0.0006286729:0.955945,239.0525:0.1115837:392.0285:0.002154746:-0.005584176:1.20327E-05:0.9999821
