Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,110606,None,True,240.393:0:424.3809:0:-0.9938502:0:0.1107332,231.859:0:409.2561:0:0:0:1,251.5527:0.02229691:399.599:0:-0.4235321:0:0.9058812,239.8003:0:378.4259:0:0:0:1,254.9462:0.1008653:386.5403:0:-0.6449979:0:0.7641844,235.2962:0.2906466:392.9454:0:0:0:1,240.3786:0:409.3502:0:0:0:1,251.2971:0.07526565:391.3087:0:-0.4147338:0:0.9099429,245.6428:0:407.5663:0:0.9996465:0:0.02658921,247.8209:0:378.6161:0:0:0:1,217.1309:0:403.6449:0:0.4497332:0:0.893163,223.6364:0:397.3542:0:0:0:1
2.346,Terrain,110606,None,True,240.1283:-0.004999936:422.0022:0:0.9995613:0:-0.02961743,231.8607:-0.02999949:409.2594:-0.0007890639:0.283812:0.0002335495:0.9588796,251.4871:-0.0160065:399.7509:-0.0002141766:-0.2338132:-5.150496E-05:0.9722815,239.8001:-0.02999583:378.4262:-0.0002867979:0.00376542:1.079922E-06:0.9999929,254.9496:0.07682154:386.539:0.001043609:-0.1966456:0.0002093081:0.9804741,235.2955:-0.02999881:392.9418:-0.0004228526:0.08230358:3.492076E-05:0.9966072,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2877:-0.02631989:391.3243:-0.0003215917:-0.1735582:-5.667501E-05:0.9848236,245.6418:-0.02999312:407.5686:-0.000795374:-0.1814333:-0.0001467428:0.983403,247.8213:-0.02999926:378.6165:-0.0002825891:-0.08763449:-2.486019E-05:0.9961527,217.1317:-0.02999735:403.6464:-0.0003827519:0.4336851:0.0001842197:0.9010644,223.6369:-0.0299935:397.356:-0.0004032245:0.2905967:0.0001224604:0.9568455
2.393,Terrain,110606,None,True,240.1055:-0.005000174:422.0031:0:0.9973342:0:-0.0729697,231.8612:-0.02999681:409.259:-0.0007897255:0.2831731:0.0002331732:0.9590685,251.4872:-0.01550338:399.7504:-0.0002042667:-0.234197:-4.920714E-05:0.9721891,239.8003:-0.0299935:378.4262:-0.0002867637:0.003502386:1.004363E-06:0.9999939,254.9495:0.07682145:386.539:0.001043293:-0.1969085:0.0002095357:0.9804213,235.2956:-0.0299989:392.9418:-0.0004229039:0.08191877:3.47606E-05:0.996639,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2878:-0.02631971:391.3243:-0.0003214811:-0.1738767:-5.676271E-05:0.9847674,245.6419:-0.02999225:407.5686:-0.0007947742:-0.1821024:-0.0001471915:0.9832792,247.8212:-0.02999577:378.6164:-0.000282509:-0.0878838:-2.492441E-05:0.9961307,217.1317:-0.0299952:403.6464:-0.0003829859:0.4334563:0.0001842126:0.9011745,223.6373:-0.02999505:397.3557:-0.0004034481:0.2902766:0.0001223809:0.9569427
2.469,Terrain,110606,None,True,240.0231:-0.004999995:422.0049:0:0.9820617:0:-0.1885599,231.8614:-0.02999505:409.2589:-0.0007924655:0.2809403:0.0002319785:0.9597249,251.4855:-0.01587957:399.7538:-0.0002112129:-0.2356059:-5.120448E-05:0.9718487,239.8003:-0.02999455:378.4261:-0.0002867696:0.002556016:7.329897E-07:0.9999967,254.9495:0.07682112:386.539:0.00104217:-0.1978683:0.0002103719:0.9802281,235.2957:-0.02999857:392.9418:-0.0004231151:0.08053634:3.418719E-05:0.9967516,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2877:-0.02629951:391.3243:-0.0003208179:-0.1750322:-5.703393E-05:0.9845626,245.6421:-0.02999592:407.5687:-0.0007929195:-0.1845288:-0.0001488731:0.9828268,247.8212:-0.02999589:378.6165:-0.000282385:-0.08879778:-2.517461E-05:0.9960496,217.1317:-0.02999598:403.6463:-0.0003839921:0.4326428:0.0001842699:0.9015654,223.6373:-0.02999741:397.3557:-0.0004042353:0.2891503:0.0001221004:0.9572836
2.540,Terrain,110606,None,True,239.8981:-0.004999995:422.0093:0:0.9587337:0:-0.2843058,231.8614:-0.02999747:409.2588:-0.0007966976:0.2775123:0.0002301326:0.9607217,251.4831:-0.01497933:399.7585:-0.0001932002:-0.237718:-4.728257E-05:0.9713342,239.8003:-0.02999842:378.4261:-0.0002867891:0.001122442:3.219044E-07:0.9999993,254.9496:0.07681465:386.5392:0.001040355:-0.1993131:0.0002116021:0.9799353,235.2957:-0.02999929:392.9418:-0.0004234212:0.0784352:3.331376E-05:0.9969192,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2871:-0.02624717:391.3241:-0.000319466:-0.1767635:-5.737336E-05:0.9842533,245.6418:-0.02999344:407.5693:-0.0007897833:-0.1881588:-0.0001513073:0.9821383,247.8212:-0.02999315:378.6165:-0.0002821489:-0.09017701:-2.554743E-05:0.9959257,217.1319:-0.02999428:403.6464:-0.0003854683:0.4313835:0.0001843166:0.9021686,223.6375:-0.02999508:397.3556:-0.0004053121:0.2874216:0.0001216277:0.9578041
2.612,Terrain,110606,None,True,239.6643:-0.005000055:422.0435:0:0.9145069:0:-0.4045703,231.8615:-0.02999905:409.2592:-0.0007999298:0.2742958:0.0002281688:0.961645,251.481:-0.01621243:399.7621:-0.0002157097:-0.2414024:-5.365984E-05:0.9704251,239.8004:-0.02999872:378.4261:-0.000286566:-0.001559374:-4.468642E-07:0.9999987,254.9507:0.07681671:386.539:0.001036491:-0.2018825:0.0002136487:0.9794092,235.2957:-0.03000066:392.9418:-0.0004236:0.07443253:3.161732E-05:0.997226,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2858:-0.02623987:391.3262:-0.0003180882:-0.179862:-5.816047E-05:0.9836918,245.6418:-0.02999538:407.5697:-0.0007828338:-0.1945751:-0.0001552879:0.9808873,247.8213:-0.02999803:378.6166:-0.0002816522:-0.09270081:-2.622229E-05:0.995694,217.1321:-0.02999559:403.6465:-0.0003881613:0.4286918:0.0001841844:0.9034507,223.6378:-0.02999616:397.3556:-0.0004071415:0.2839324:0.0001205625:0.9588442
2.684,Terrain,110606,None,True,239.2753:-0.004999995:422.1246:0:0.8681728:0:-0.4962621,231.8615:-0.02999884:409.2592:-0.0007999298:0.2742958:0.0002281688:0.961645,251.478:-0.01647481:399.7676:-0.0002182653:-0.2472203:-5.56882E-05:0.9689593,239.8004:-0.02999648:378.4262:-0.0002859853:-0.006007555:-1.718103E-06:0.9999819,254.9511:0.0768148:386.5393:0.001029447:-0.2059832:0.0002166958:0.978555,235.2957:-0.0300014:392.942:-0.0004234581:0.0677155:2.874065E-05:0.9977046,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2838:-0.02619636:391.3281:-0.0003150994:-0.184828:-5.926019E-05:0.9827709,245.6415:-0.02999532:407.5704:-0.0007700658:-0.2047095:-0.0001610505:0.9788225,247.8214:-0.02999377:378.6167:-0.0002805222:-0.09682631:-2.729016E-05:0.9953012,217.1324:-0.02999568:403.6464:-0.0003924988:0.4238448:0.0001836725:0.9057347,223.638:-0.0299961:397.3559:-0.0004098699:0.2778638:0.0001185567:0.9606204
2.758,Terrain,110606,None,True,238.9023:-0.005000055:422.207:0:-0.8352405:0:0.5498849,231.8613:-0.02999869:409.2593:-0.0007999298:0.2742958:0.0002281688:0.961645,251.4756:-0.01580313:399.7721:-0.0002032161:-0.252641:-5.306205E-05:0.9675601,239.8004:-0.02999404:378.4263:-0.00028537:-0.01025502:-2.92663E-06:0.9999474,254.9515:0.07681501:386.539:0.001022607:-0.2098389:0.000219469:0.9777355,235.2955:-0.03000003:392.9422:-0.0004231294:0.06127449:2.597585E-05:0.9981209,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2822:-0.0259887:391.3302:-0.0003097485:-0.1895072:-5.978287E-05:0.9818793,245.6412:-0.02999341:407.5711:-0.00075759:-0.2140798:-0.000166034:0.9768159,247.8213:-0.02999312:378.6168:-0.0002794342:-0.1007416:-2.82946E-05:0.9949126,217.1324:-0.03000119:403.6467:-0.0003967434:0.4190564:0.0001831114:0.9079601,223.6382:-0.02999485:397.3562:-0.000412368:0.2719389:0.0001165304:0.9623145
2.825,Terrain,110606,None,True,238.3571:-0.004999995:422.3294:0:-0.7957695:0:0.6055996,231.8614:-0.02999857:409.2593:-0.0007999298:0.2742958:0.0002281688:0.961645,251.4725:-0.01701352:399.7771:-0.0002223046:-0.2603393:-5.994156E-05:0.9655172,239.8003:-0.02999881:378.4265:-0.0002845132:-0.01643037:-4.675288E-06:0.999865,254.9524:0.07682106:386.5389:0.00101266:-0.2153845:0.0002233537:0.9765288,235.2955:-0.03000039:392.9424:-0.0004225057:0.05188031:2.194929E-05:0.9986532,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2795:-0.025803:391.3346:-0.0003037239:-0.1962229:-6.077917E-05:0.9805593,245.6409:-0.02999529:407.5717:-0.0007395296:-0.2272396:-0.0001725649:0.9738386,247.8214:-0.02999794:378.617:-0.0002778746:-0.1064095:-2.973733E-05:0.9943224,217.1328:-0.03000125:403.6466:-0.0004028588:0.4118647:0.0001820842:0.9112449,223.6384:-0.02999601:397.3565:-0.0004159523:0.263153:0.000113458:0.964754
2.896,Terrain,110606,None,True,237.9312:-0.004999995:422.4259:0:-0.7698179:0:0.6382636,231.8612:-0.0299986:409.2593:-0.0007999298:0.2742958:0.0002281688:0.961645,251.4699:-0.01646987:399.7815:-0.0002095296:-0.2661831:-5.78607E-05:0.9639225,239.8003:-0.0299975:378.4266:-0.0002837469:-0.02122654:-6.024324E-06:0.9997747,254.953:0.07681718:386.5387:0.001004786:-0.2196392:0.0002262145:0.9755806,235.2953:-0.02999988:392.9427:-0.0004218634:0.04456694:1.881986E-05:0.9990063,240.3779:-0.02999684:409.3518:-0.0008315939:-0.0215854:-1.795447E-05:0.9997666,251.2776:-0.02492243:391.3389:-0.0002884091:-0.2013769:-5.929365E-05:0.9795138,245.6406:-0.0299935:407.5723:-0.000725444:-0.2370974:-0.0001770494:0.9714856,247.8215:-0.02999666:378.6172:-0.0002765761:-0.1107914:-3.083206E-05:0.9938437,217.1328:-0.03000084:403.6469:-0.0004076535:0.4061057:0.0001811618:0.913826,223.6386:-0.02999485:397.3568:-0.0004186238:0.2561933:0.0001109516:0.9666255
