Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab
.000,Terrain,14682,None,True,240.393:0:424.3809:0:-0.9938502:0:0.1107332,239.8003:0:378.4259:0:0:0:1,251.2971:0.07526565:391.3087:0:-0.4147338:0:0.9099429,240.3786:0:409.3502:0:0:0:1,231.859:0:409.2561:0:0:0:1,223.6364:0:397.3542:0:0:0:1,251.5527:0.02229691:399.599:0:-0.4235321:0:0.9058812,247.8209:0:378.6161:0:0:0:1,235.2962:0.2906466:392.9454:0:0:0:1,217.1309:0:403.6449:0:0.4497332:0:0.893163,245.6428:0:407.5663:0:0.9996465:0:0.02658921,254.9462:0.1008653:386.5403:0:-0.6449979:0:0.7641844
1.076,Terrain,14682,None,True,240.393:-0.004999995:424.3809:0:0.9452272:0:-0.3264132,239.8003:-0.02999172:378.4257:0:0:0:1,251.1438:-0.02545246:391.4069:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.3546:-0.02342486:399.7808:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
1.171,Terrain,14682,None,True,240.393:-0.004999936:424.3809:0:0.944516:0:-0.3284654,239.8003:-0.02999172:378.4257:0:0:0:1,251.1385:-0.02563462:391.4084:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.3462:-0.02365103:399.7888:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
1.276,Terrain,14682,None,True,240.393:-0.005000114:424.3809:0:0.9439912:0:-0.3299706,239.8003:-0.02999172:378.4257:0:0:0:1,251.1355:-0.0258022:391.4084:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.3381:-0.02379137:399.7964:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
1.370,Terrain,14682,None,True,240.393:-0.005000055:424.3809:0:0.9436046:0:-0.3310747,239.8003:-0.02999172:378.4257:0:0:0:1,251.1326:-0.02596679:391.4085:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.3355:-0.02389222:399.7991:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
1.476,Terrain,14682,None,True,240.393:-0.004999936:424.3809:0:0.94332:0:-0.3318847,239.8003:-0.02999172:378.4257:0:0:0:1,251.1318:-0.02611351:391.4075:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.3329:-0.02391201:399.8015:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
1.571,Terrain,14682,None,True,240.393:-0.004999995:424.3809:0:0.9431106:0:-0.332479,239.8003:-0.02999172:378.4257:0:0:0:1,251.1289:-0.02626809:391.4074:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.333:-0.02395734:399.8017:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
1.672,Terrain,14682,None,True,240.393:-0.004999995:424.3809:0:0.9429568:0:-0.3329152,239.8003:-0.02999172:378.4257:0:0:0:1,251.1262:-0.02639365:391.4075:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.3305:-0.02401716:399.8042:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
1.772,Terrain,14682,None,True,240.393:-0.005000055:424.3809:0:0.9428438:0:-0.3332352,239.8003:-0.02999172:378.4257:0:0:0:1,251.1256:-0.02645054:391.4067:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.3305:-0.02401802:399.8043:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
1.883,Terrain,14682,None,True,240.393:-0.005000055:424.3809:0:0.942747:0:-0.3335089,239.8003:-0.02999172:378.4257:0:0:0:1,251.1227:-0.02660754:391.4063:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.3305:-0.02401882:399.8043:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
1.976,Terrain,14682,None,True,240.393:-0.004999995:424.3809:0:0.9426997:0:-0.3336424,239.8003:-0.02999172:378.4257:0:0:0:1,251.1202:-0.0267216:391.4063:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.3305:-0.02401882:399.8043:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
2.083,Terrain,14682,None,True,240.393:-0.005000055:424.3809:0:0.9426476:0:-0.3337898,239.8003:-0.02999172:378.4257:0:0:0:1,251.1194:-0.02678454:391.4054:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.3305:-0.02401882:399.8043:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
2.176,Terrain,14682,None,True,240.393:-0.004999995:424.3809:0:0.9426221:0:-0.3338616,239.8003:-0.02999172:378.4257:0:0:0:1,251.1168:-0.02692425:391.405:0:-0.4147338:0:0.9099428,240.3786:-0.02997062:409.35:0:0:0:1,231.859:-0.02997729:409.2559:0:0:0:1,223.6364:-0.02997375:397.354:0:0:0:1,251.3305:-0.02401882:399.8043:0:-0.4235321:0:0.9058811,247.8209:-0.02998745:378.6161:0:0:0:1,235.2962:-0.02997208:392.9448:0:0:0:1,217.1306:-0.02996024:403.6444:0:0.4497332:0:0.893163,245.6428:-0.02998957:407.5664:0:0.9996465:0:0.02658921,254.9469:0.07693452:386.5409:0:-0.6449979:0:0.7641844
