Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab,Wolf_prefab
11.712,Terrain,28488,None,True,248.5:0:423.2:0:-0.9938502:0:0.1107332,238.1141:0.1115837:403.7122:0:0.126461:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459478,223.4755:0.1115837:396.552:0:0.38893:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.063,Terrain,28488,None,True,248.5:-0.004992187:423.2:0:0.9870602:0:-0.1603497,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.112,Terrain,28488,None,True,248.5:-0.004999936:423.2:0:0.9817459:0:-0.1901973,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.164,Terrain,28488,None,True,248.5:-0.004999936:423.2:0:0.9783024:0:-0.207182,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.210,Terrain,28488,None,True,248.5:-0.005000174:423.2:0:0.9734363:0:-0.2289584,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.254,Terrain,28488,None,True,248.5:-0.005000055:423.2:0:0.9704391:0:-0.2413462,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.299,Terrain,28488,None,True,248.5:-0.005000114:423.2:0:0.9676581:0:-0.2522652,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.342,Terrain,28488,None,True,248.5:-0.004999995:423.2:0:0.9650975:0:-0.2618906,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.385,Terrain,28488,None,True,248.5:-0.004999995:423.2:0:0.9627545:0:-0.2703769,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
.432,Terrain,28488,None,True,248.5:-0.004999995:423.2:0:0.9596307:0:-0.281263,238.1141:0.1115839:403.7122:0:0.1264611:0:0.9919716,254.1505:0.1115837:406.1739:0:-0.3833985:0:0.923583,219.1169:0.1115837:408.9374:0:0.5332658:0:0.8459477,223.4755:0.1115839:396.552:0:0.3889301:0:0.9212673,239.0525:0.1115837:392.0285:0:0:0:1
