Statement,Counterstatement,Inverse grading,Type
I love to read challenging material., I avoid difficult reading material.,n,O
I leave a mess in my room., I love to tidy up.,y,C
I often feel uncomfortable about others., I feel comfortable around people.,y,E
I am interested in others' problems., I am not interested in other people's problems.,n,A
I am relaxed all the time., I get stressed out easily.,n,N
I have a vivid imagination., I do not have a good imagination.,n,O
I follow a schedule., I waste my time.,n,C
I don't like to draw attention to myself., I don't mind being in the center of attention.,y,E
I have a good word for everyone., I have a sharp tongue.,n,A
I seldom feel blue., I often feel blue.,n,N
I carry the conversation to a higher level., I will not probe deeply into a subject.,n,O
I continue until everything is perfect., I do things in a half-way manner.,n,C
I start conversations., I don't talk a lot.,n,E
I feel little concern of others., I inquire about others' well being.,y,A
I rarely get irritated., I get irritated easily.,n,N
I catch on to things easily., I am not quick to understand things.,n,O
I find it difficult to get down to work., I get chores done right away.,y,C
I make friends easily.,I am a very private person.,n,E
I am indifferent to the feeling of others., I sympathize with others' feelings.,y,A
I worry about things., I am not easily bothered by things.,y,N
I have a difficulty imagining things., I spend my time reflecting on things.,y,O
I complete my duties., I shirk my duties.,n,C
I take control of things., I wait for others to lead the way.,n,E
I make people feel at ease., I do not know how to comfort others.,n,A
I get angry easily., I seldom get mad.,y,N
I have a rich vocabulary., I do not use any difficult words.,n,O
I am always prepared., I make a mess of things.,n,C
I talk to a lot of people at parties., I find it difficult to approach others.,n,E
I can't stand confrontations., I love a good fight.,n,A
I get overwhelmed by emotions., I seldom get emotional.,y,N
